sample_id;source_example_index;context_type;relation;reference_object;seed;prompt;scoring_prompt;output_path;human_presence;person_count;single_person_score;person_detection_confidence;person_box;placement_score;scale_score;relation_score;background_score;background_mae;prompt_score;total_score;failure_label;valid_candidate;auto_rank
sample_001;391;free_placement;left_side;;1005;A photorealistic adult woman standing naturally in the empty space on the left side indoors. Full body visible from head to feet, clear face, two arms, two legs. Feet on floor. Correct anatomy and scene-matched scale, perspective, lighting, shadows.;a complete full-body woman standing on the left side indoors;/content/drive/MyDrive/Colab Notebooks/alto/v0/Output/images/sample_001/seed_1005.png;1;1;1.0;0.9997425675392151;[233.69004821777344, 183.15731811523438, 370.23101806640625, 633.3859252929688];0.9726775590293648;0.8816057699124097;1.0;1.0;0.0;0.6399486362934113;0.898782034931841;;1;1
sample_001;391;free_placement;left_side;;1001;A photorealistic adult woman standing naturally in the empty space on the left side indoors. Full body visible from head to feet, clear face, two arms, two legs. Feet on floor. Correct anatomy and scene-matched scale, perspective, lighting, shadows.;a complete full-body woman standing on the left side indoors;/content/drive/MyDrive/Colab Notebooks/alto/v0/Output/images/sample_001/seed_1001.png;1;1;1.0;0.9995331764221191;[188.95950317382812, 186.5645294189453, 302.4344787597656, 642.8949584960938];0.9747131586504185;0.7561743811575169;1.0;1.0;0.0;0.6596289724111557;0.8779865965493481;;1;2
sample_001;391;free_placement;left_side;;1003;A photorealistic adult woman standing naturally in the empty space on the left side indoors. Full body visible from head to feet, clear face, two arms, two legs. Feet on floor. Correct anatomy and scene-matched scale, perspective, lighting, shadows.;a complete full-body woman standing on the left side indoors;/content/drive/MyDrive/Colab Notebooks/alto/v0/Output/images/sample_001/seed_1003.png;1;1;1.0;0.9993590712547302;[245.60462951660156, 183.40318298339844, 348.51739501953125, 528.242919921875];0.948734048931942;0.4680755599464018;1.0;1.0;0.0;0.6579654365777969;0.8147947769049108;;1;3
sample_001;391;free_placement;left_side;;1000;A photorealistic adult woman standing naturally in the empty space on the left side indoors. Full body visible from head to feet, clear face, two arms, two legs. Feet on floor. Correct anatomy and scene-matched scale, perspective, lighting, shadows.;a complete full-body woman standing on the left side indoors;/content/drive/MyDrive/Colab Notebooks/alto/v0/Output/images/sample_001/seed_1000.png;1;1;1.0;0.9994778037071228;[214.77273559570312, 198.6583251953125, 311.8016662597656, 507.1549987792969];0.9481263443213047;0.3466188108904311;1.0;1.0;0.0;0.6672082245349884;0.7922601268761256;;1;4
sample_001;391;free_placement;left_side;;1004;A photorealistic adult woman standing naturally in the empty space on the left side indoors. Full body visible from head to feet, clear face, two arms, two legs. Feet on floor. Correct anatomy and scene-matched scale, perspective, lighting, shadows.;a complete full-body woman standing on the left side indoors;/content/drive/MyDrive/Colab Notebooks/alto/v0/Output/images/sample_001/seed_1004.png;1;1;1.0;0.9997550845146179;[262.8280029296875, 186.71092224121094, 352.8961181640625, 496.6260070800781];0.9405221012361932;0.32382982784477443;1.0;1.0;0.0;0.6575330197811127;0.7843157609010706;;1;5
sample_001;391;free_placement;left_side;;1007;A photorealistic adult woman standing naturally in the empty space on the left side indoors. Full body visible from head to feet, clear face, two arms, two legs. Feet on floor. Correct anatomy and scene-matched scale, perspective, lighting, shadows.;a complete full-body woman standing on the left side indoors;/content/drive/MyDrive/Colab Notebooks/alto/v0/Output/images/sample_001/seed_1007.png;1;1;1.0;0.9996720552444458;[309.6697692871094, 192.9170684814453, 390.4631042480469, 484.2951354980469];0.9303019146421743;0.25033097642108104;1.0;1.0;0.0;0.6423293203115463;0.7645104560860718;;1;6
sample_001;391;free_placement;left_side;;1002;A photorealistic adult woman standing naturally in the empty space on the left side indoors. Full body visible from head to feet, clear face, two arms, two legs. Feet on floor. Correct anatomy and scene-matched scale, perspective, lighting, shadows.;a complete full-body woman standing on the left side indoors;/content/drive/MyDrive/Colab Notebooks/alto/v0/Output/images/sample_001/seed_1002.png;1;1;1.0;0.9996064305305481;[269.1045837402344, 182.951904296875, 329.1683654785156, 384.1869812011719];0.912870290974086;0.07523307250338573;1.0;1.0;0.0;0.6555370837450027;0.7286296970771319;wrong_scale;0;7
sample_001;391;free_placement;left_side;;1006;A photorealistic adult woman standing naturally in the empty space on the left side indoors. Full body visible from head to feet, clear face, two arms, two legs. Feet on floor. Correct anatomy and scene-matched scale, perspective, lighting, shadows.;a complete full-body woman standing on the left side indoors;/content/drive/MyDrive/Colab Notebooks/alto/v0/Output/images/sample_001/seed_1006.png;0;0;0.0;0.0;null;0.0;0.0;0.0;1.0;0.0;0.0;0.0;no_human;0;8
sample_002;722;free_placement;center_foreground;;1001;A photorealistic adult man standing naturally in the exact center foreground outdoors. Full body visible from head to feet, clear face, two arms, two legs. Feet on ground. Correct anatomy and scene-matched scale, perspective, lighting, shadows.;a complete full-body man standing in the center foreground outdoors;/content/drive/MyDrive/Colab Notebooks/alto/v0/Output/images/sample_002/seed_1001.png;1;1;1.0;0.9997114539146423;[427.6563720703125, 181.93685913085938, 613.447509765625, 672.0777587890625];0.9838415214934474;0.9915176847556046;1.0;1.0;0.0;0.6554173976182938;0.9260831842521298;;1;1
sample_002;722;free_placement;center_foreground;;1000;A photorealistic adult man standing naturally in the exact center foreground outdoors. Full body visible from head to feet, clear face, two arms, two legs. Feet on ground. Correct anatomy and scene-matched scale, perspective, lighting, shadows.;a complete full-body man standing in the center foreground outdoors;/content/drive/MyDrive/Colab Notebooks/alto/v0/Output/images/sample_002/seed_1000.png;1;1;1.0;0.9997802376747131;[410.3927001953125, 184.04730224609375, 592.5941772460938, 679.5420532226562];0.9871919127700908;0.9926811735182329;1.0;1.0;0.0;0.6372340321540833;0.9233664831071597;;1;2
